D_R,con1,edo,muni,loca,ageb,hr_ini1,min_ini1,hr_ter1,min_ter1,dura1,resul1,hr_ini2,min_ini2,hr_ter2,min_ter2,dura2,resul2,hr_ini3,min_ini3,hr_ter3,min_ter3,dura3,resul3,hr_ini4,min_ini4,hr_ter4,min_ter4,dura4,resul4,p1,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p3_6,p3_7,p3_8,p3_9,p3_10,p4_1,p4_2,p4_3,p5_1,p5_2,p5_3,p5_4,p6_1,p6_2,p6_3,p6_4,p6_5,p6_6,p6_7,p7_1,p7_2,p7_3,p7_4,p7_5,p7_6,p7_7,p7_8,p7_9,p7_10,p8,p8_2,p9,p9_1,p9_2,p10_1,p10_2,p10_3,p10_4,p10_5,p10_6,p10_7,p10_8,p10_9,p10_10,p10_11,p10_12,p10_13,p10_14,p10_15,p11,p11a_1,p12,p12a_1,p13,p13a_1,p14,p15_1,p15_2,p15_3,p15_4,p15_5,p15_6,p15_7,p16,p16_1,p16_2,p16_3,p17,p18,p19_1,p19_2,p19_3,p20_1,p20_2,p20_3,p20_1a_1,p20_2a_1,p20_3a_1,p21,p21_1,p21_2,p21_3,p22,p23,p24,p25,p26_1,p26_2,p26_3,p26_4,p26_5,p26_6,p27,p27a_1,p28,p29,p29a,p30,p30aa_1,p31,p32_1,p32_2,p32_3,p33,p34,p35_1,p35_2,p35_3,p35_4,p36,p37,p38,p39,p40,p41,p41aa_1,p42,p43_1,p43_2,p43_3,p43_4,p43_5,p43_6,p44,p45,p46,p47,p48,p49_1,p49_2,p49_3,p49_4,p49_5,p50_1,p50_2,p50_3,p50_4,p50_5,p50_6,p50_7,p50_8,p51,p52,p53,p54,p55,p56_1,p56_2,p56_3,p56_4,p56_5,p57,p57a_1,p58,p59,p60_1,p60_2,p60_3,p60_4,p61,p62_1,p62_2,p62_3,p62_4,p62_5,p63_1,p63_2,p63_3,p63_4,p63_5,p64,p65,p66,p67_1,p67_2,p67_3,p67_4,p67_5,p68otra,p68,p68_1,p69a,p69b,p69ba,p70,p71,p71_1_1,p71_1_2,p71_1_3,p72,p73_1,p73_2,p73_3,p73_4,sd1,sd2,sd3,sd4,sd4a,sd5,sd6,sd7,sd8,sd9,sd10,sd11,sd12,sd13,sd14,sd15,sd16,obser,sexo,edad_1,escol,cond_act,est_civil,ing_ind,ing_fam,total2,Region,Estrato,Tam_loc,Pondi2,Pondi_v
 ,1,20,188,1,003-6,13,29,14,25,56,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,4,4,4,4,4,4,3,4,4,4,violación,hambre, ,3,2,2,2,1,3,1,3,3,2,3,1,1,1,1,1,1,1,1,1,1,indocumentado,10,3,-1,-1,6,4,6,6,7,6,5,6,7,6,5,6,7,6,6,narcotráfico,5,tráfico de personas,5,23,20,98,1,2,1,3,1,2,2,2,-1,-1,-1,1,2,4,1,3,12,-1,-1,2,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,2,1,1,1,1,98,98,1,98,98,98,98,2,2,2,2,5,2,2,1,1,1,1,3,3,1,1,inseguridad,2,2,2,3,2,5,3,5,1,3,2,2,1,2,4,2,3,3,2,3,3,2,3,2,2,3,2,3,98,98,2,2,1,1,2,1,98,98,1,1,5,5,5,5,1,2,2,2,2,1,-1,-1,-1,-1,6,1,1,9,3,2,1,2,3,2,2,-1,30,CORDOVA,CORDOBA,0,2,-1,-1,-1,5,2,2,2,2,2,43,1,1,-1,-1,2,1,8,-1,-1,-1,-1,-1,-1,988888,98, ,2,4,1,2,1,-1,988888,1,4,43,3,58676,25001
 ,2,30,47,1,007-A,11,53,12,26,33,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,3,3,3,3,3,3,3,3,3,98, , ,8,8,8,8,8,8,2,3,2,8,8,8,8,8,8,8,8,8,8,8,8,98,98,3,-1,-1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,999,99,99,1,8,1,8,1,1,1,2,-1,-1,-1,2,4,1,-1,-1,11,-1,-1,1,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,8,2,3,8,8,15,5,1,97,97,97,97,8,8,8,8,8,2,1,1,1,8,3,1,8,8,3,97,97,9,8,8,8,8,8,8,2,8,8,8,2,8,8,8,8,8,2,2,3,2,2,8,1,2,8,8,98,98,3,1,1,1,8,8,98,98,1,1,8,8,8,8,8,2,2,2,2,2,-1,-1,-1,-1,-1,1,1,8,8,8,8,8,8,2,2,-1,30,COSCOMATEPEC,COSCOMATEPEC,6,2,-1,-1,-1,3,2,2,2,2,2,62,2,1,-1,-1,2,6,8,-1,-1,-1,-1,-1,-1,988888,98, ,2,6,1,2,6,-1,988888,1,4,42,2,11725,14433
 ,3,15,30,1,007-8,10,48,11,31,43,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,8,3,4,4,4,4,3,4,8,4,4,98, , ,8,8,2,8,3,8,2,8,1,2,8,1,1,1,8,3,3,1,3,3,3,98,98,98,-1,-1,0,0,2,2,0,3,0,0,0,0,0,0,0,0,0,Estados Unidos,3,98,98,999,99,99,3,3,3,8,3,8,8,2,-1,-1,-1,2,4,1,4,2,29,16,-1,6,3,-1,2,-1,-1,-1,2,-1,-1,2,8,3,1,3,1,2,98,98,1,97,98,97,98,1,2,1,2,8,1,1,1,1,1,8,8,2,1,1,98,98,2,5,8,5,8,8,8,2,1,8,1,8,8,8,8,8,8,1,1,8,8,1,8,8,8,2,8,98,98,8,8,8,8,3,8,98,98,8,8,8,8,8,8,8,8,8,8,8,8,-1,-1,-1,-1,-1,1,8,1,8,1,2,1,8,2,2,-1,15,CHINCONCUAC,CHINCONCUAC,4,2,-1,-1,-1,1,2,2,2,2,2,62,2,1,-1,-1,2,5,8,-1,-1,-1,-1,-1,-1,5000,2, ,2,6,1,2,1,-1,4,1,2,22,2,34727,8206
 ,4,11,17,1,044-9,17,43,18,23,40,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,6,3,3,3,3,3,3,4,3,3,3,frontera,sufrimiento,desempleo,2,2,2,2,1,3,3,2,3,3,2,2,1,1,1,1,1,1,1,1,1,indocumentado,10,3,-1,-1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,Tamaulipas,2,98,98,999,99,11,1,1,1,1,1,1,3,2,-1,-1,-1,1,4,1,-1,-1,24,14,-1,1,2,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,1,1,1,11,1,1,97,97,97,97,2,1,1,1,8,2,1,1,1,1,3,1,3,1,2,deportación,5,3,5,1,5,1,5,5,2,8,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,98,98,3,1,1,1,1,1,15,5,1,1,5,5,5,5,1,2,2,2,2,2,-1,-1,-1,-1,-1,1,1,4,1,1,1,1,1,2,2,-1,11,DOLORES HIDALGO,DOLORES HIDALGO,2,2,-1,-1,-1,1,2,2,2,2,1,34,2,1,-1,-1,2,5,1,4,4,3,2,988888,98,988888,98, ,1,3,1,1,1,988888,988888,1,1,11,1,56490,17002
 ,5,7,32,73,999-9,12,6,12,48,42,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,2,2,3,4,3,4,3,2,4,3,4,origen de otro país,pobreza, ,1,1,1,1,1,3,2,3,3,3,3,1,1,1,1,2,2,1,1,1,1,pobreza en su país,1,3,-1,-1,7,8,8,7,6,8,6,5,5,7,5,9,10,5,9,migrante,7,migrante,7,28,24,11,1,2,1,1,1,1,1,2,-1,-1,-1,2,4,1,4,9,35,31,22,5,5,5,2,-1,-1,-1,2,-1,-1,3,3,3,3,2,1,2,18,2,1,las remesas,11,98,98,2,1,1,1,1,2,1,1,1,1,3,1,2,1,2,inseguridad,2,2,1,2,3,1,5,5,2,3,1,2,2,1,3,2,1,2,2,1,1,2,2,1,2,1,4,1,21,11,2,1,1,1,1,1,15,5,1,1,4,4,4,4,1,2,2,1,2,1,-1,-1,8,-1,8,1,1,1,1,1,1,3,3,2,2,-1,7,ESCUINTLA,ESCUINTLA,3,2,-1,-1,-1,5,2,2,2,2,2,45,1,1,-1,-1,2,5,8,-1,-1,-1,-1,-1,-1,2000,1, ,2,5,1,2,1,-1,2,1,4,44,4,113882,67634
 ,6,11,44,43,011-1,13,16,14,5,49,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,9,2,3,4,4,4,1,4,4,4,2,maltrato,dolores,sueños,2,2,2,2,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,mojados,9,3,-1,-1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,gente sin papeles ni documentos,7,buscan mejoría,4,999,99,99,1,1,1,1,1,1,1,2,-1,-1,-1,2,4,1,2,-1,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,1,1,1,13,4,1,ganan dólares,11,98,98,1,2,2,1,5,2,1,1,1,1,3,2,1,1,2,97,97,2,1,1,1,1,1,1,2,3,2,2,2,1,4,4,4,4,3,3,3,3,2,3,2,3,1,3,15,11,2,1,1,1,1,1,51,1,1,4,5,5,5,5,1,1,1,1,1,1,5,5,5,5,5,3,2,3,3,1,1,1,3,2,2,-1,11,GUANAJUATO VILLAGRAN,VILLAGRAN,0,2,-1,-1,-1,5,1,2,2,2,2,59,2,1,-1,-1,2,6,8,-1,-1,-1,-1,-1,-1,988888,99, ,2,6,1,2,6,-1,988888,1,1,13,3,58275,15496
 ,7,7,32,73,999-9,12,7,12,49,42,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,3,8,2,3,1,4,3,2,3,8,4,3,país,gente, ,3,4,3,3,2,3,2,3,3,2,2,1,3,3,3,3,3,3,3,3,3,estar en un país sin papeles,10,3,-1,-1,6,6,5,8,6,6,5,8,8,7,6,10,8,10,9,"Estados y Tijuana, trata de mujeres, delincuencia",2,salvadoreños,3,68,32,11,1,1,3,2,2,1,2,2,-1,-1,-1,2,4,1,7,5,27,-1,-1,6,-1,-1,2,-1,-1,-1,2,-1,-1,2,2,3,2,2,2,2,13,4,1,dinero,11,que a veces los matan,6,1,2,1,1,5,2,1,1,1,1,1,3,9,1,1,97,97,2,3,3,3,4,3,3,2,3,3,2,2,3,2,3,3,3,1,3,2,3,3,2,1,2,3,1,98,24,3,3,2,2,2,4,26,5,3,1,2,1,2,2,1,2,2,2,2,1,-1,-1,-1,-1,0,1,2,3,2,3,1,1,3,2,2,-1,7,HUIXTLA,HUIXTLA,4,2,-1,-1,-1,5,2,1,2,2,2,50,2,1,-1,-1,1,1,8,-1,-1,-1,-1,-1,-1,2000,1, ,2,5,1,2,1,-1,2,1,4,44,4,113882,67634
 ,8,1,5,1,055-2,9,14,10,18,64,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,3,2,2,2,3,1,4,9,4,2,con la gente de otro país, , ,2,2,2,2,3,3,3,3,3,1,2,8,8,1,3,3,3,1,8,2,8,sin papeles,10,3,-1,-1,8,98,98,98,98,7,98,98,98,98,98,98,98,98,99,98,98,indocumentados,7,28,24,99,3,3,3,3,3,3,3,2,-1,-1,-1,2,4,1,2,4,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,2,8,8,8,2,1,1,26,1,1,que mandan dinero a sus familias,11,que los trabajadores son explotados,3,1,2,2,1,5,2,1,1,1,1,3,1,3,2,1,97,97,3,8,8,5,2,5,2,2,9,3,1,8,1,8,8,8,8,1,8,1,8,1,8,8,2,4,1,98,11,1,4,1,2,4,5,38,8,3,4,3,8,4,4,1,9,1,9,9,1,-1,7,-1,-1,2,1,1,2,1,8,1,1,3,2,2,-1,25,NAVOJOA,NAVOJOA,6,2,-1,-1,-1,5,2,2,2,2,2,63,1,1,-1,-1,2,5,1,4,4,2,1,2000,2,988888,98, ,2,6,1,1,1,2,988888,1,1,12,2,55607,11863
 ,9,11,36,1,003-5,18,2,18,37,35,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,2,4,4,4,4,4,4,4,4,4,4,98, , ,4,4,4,4,1,3,1,3,3,3,3,1,1,1,1,1,1,1,1,1,1,98,98,3,-1,-1,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,chihuahua,2,Guatemala,3,79,1,98,3,3,3,3,3,3,3,2,-1,-1,-1,2,4,6,4,1,44,-1,-1,4,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,3,1,1,22,6,1,97,97,97,97,1,1,2,1,8,2,1,1,1,1,2,3,3,2,3,"deportación, inseguridad",5,3,1,3,2,2,2,4,2,2,3,3,2,4,4,4,4,4,3,3,3,3,2,3,1,3,3,3,15,11,2,1,1,1,1,4,15,5,1,3,8,8,8,8,3,2,2,2,2,1,-1,-1,-1,-1,98,2,1,1,1,1,1,2,3,2,2,-1,11,SANTIAGO MARAVATIO,SANTIAGO MARAVATIO,2,2,-1,-1,-1,5,1,2,2,2,1,76,2,1,-1,-1,2,4,1,4,4,2,1,999999,99,1060,1, ,1,7,1,1,2,999999,2,1,1,13,3,105767,21984
 ,10,11,36,1,003-5,18,21,19,35,74,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,3,3,3,3,3,2,4,4,4,3,partida,lejanía,tristeza,2,2,2,2,1,3,3,3,3,3,3,1,1,1,2,3,3,2,1,1,3,indocumentado,10,3,-1,-1,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,nuevo ladero,2,países lejanos,3,999,99,99,3,3,3,3,3,3,3,2,-1,-1,-1,2,4,1,8,6,98,-1,-1,98,-1,-1,2,-1,-1,-1,2,-1,-1,2,1,1,1,1,2,3,12,2,1,ingreso,11,pueblos sin hombres,2,1,2,2,1,5,2,1,1,1,1,8,3,2,1,2,97,97,3,5,1,1,1,1,1,2,1,2,2,2,3,3,3,3,3,1,1,1,1,1,1,1,1,3,3,16,11,2,1,1,1,1,1,15,5,1,4,4,5,5,5,2,2,2,2,2,2,-1,-1,-1,-1,-1,3,2,4,3,1,1,1,3,2,2,-1,11,SANTIAGO MARAVATIO,SANTIAGO MARAVATIO,3,2,-1,-1,-1,5,2,2,2,2,1,70,2,1,-1,-1,2,5,5,-1,-1,-1,-1,-1,-1,2000,1, ,1,7,1,2,1,-1,2,1,1,13,3,105767,21984
