"Entidad","Total","Cantidad de deportados 2019"
"","",""
"Aguascalientes","294","304"
"Baja California","2560","1862"
"Baja California Sur","30","30"
"Campeche","537","475"
"Coahuila de Zaragoza","7672","6104"
"Colima","22","14"
"Chiapas","79838","58569"
"Chihuahua","4227","1359"
"Ciudad de México","2946","4584"
"Durango","495","466"
"Guanajuato","415","51"
"Guerrero","51","40"
"Hidalgo","783","781"
"Jalisco","429","351"
"México","1636","51"
"Michoacán de Ocampo","216","74"
"Morelos","121","96"
"Nayarit","245","149"
"Nuevo León","6827","5222"
"Oaxaca","8426","5846"
"Puebla","2804","1883"
"Querétaro","700","29"
"Quintana Roo","484","608"
"San Luis Potosí","2997","2863"
"Sinaloa","810","796"
"Sonora","4347","3679"
"Tabasco","16817","14318"
"Tamaulipas","10405","4935"
"Tlaxcala","646","791"
"Veracruz de Ignacio de la Llave","22530","31526"
"Yucatán","373","285"
"Zacatecas","1743","1727"
